negativeId,year,repository,place,prov,region,lat,lon
6573,1925,Duomo,Montepulciano,SI,TOSCANA,,
6574,1925,Duomo,Montepulciano,SI,TOSCANA,,
6577,1925,Franceschi Collection,Montepulciano,SI,TOSCANA,,
6578,1925,Palazzo Pubblico,Pienza,SI,TOSCANA,,
6579,1925,"Collegiata, San Quirico d'Orcia",San Quirico d'Orcia,SI,TOSCANA,,
6580,1925,Collegiata,San Quirico d'Orcia,SI,TOSCANA,,
6581,1925,Collegiata,San Quirico d'Orcia,SI,TOSCANA,,
6582,1925,Collegiata,San Quirico d'Orcia,SI,TOSCANA,,
6587,1926,Pinacoteca,Lucca,LU,TOSCANA,,
6592,1925,Soprintendenza ai Beni Artistici e Storici,Firenze,FI,TOSCANA,,
6593,1925,Duomo,Pistoia,PT,TOSCANA,,
6594,1925,Pinacoteca,Pistoia,PT,TOSCANA,,
6595,1926,"Pinacoteca, Pistoia",Pistoia,PT,TOSCANA,,
6596,1925,Pinacoteca,Pistoia,PT,TOSCANA,,
6598,1925,Pinacoteca,Pistoia,PT,TOSCANA,,
6599,1925,"Sta. Maria della Grazie, Pistoia",Pistoia,PT,TOSCANA,,
6600,1925,"Sta. Maria della Grazie, Pistoia",Pistoia,PT,TOSCANA,,
6602,1926,Museo civico,Pistoia,PT,TOSCANA,,
6607,1925,San Francesco al Prato,Pistoia,PT,TOSCANA,,
6610,1925,S. Francesco,Castelfiorentino,FI,TOSCANA,,
6614,1926,"S. Pietro, Castelfiorentino",Castelfiorentino,FI,TOSCANA,,
6616,1925,Chiesa di Santa Chiara,Castelfiorentino,FI,TOSCANA,,
6619,1925,S. Prospero,Cambiano,FI,TOSCANA,,
6621,1925,Palazzo Pretorio,Certaldo,FI,TOSCANA,,
6622,1925,Palazzo Pretorio,Certaldo,FI,TOSCANA,,
6623,1925,Palazzo Pretorio,Certaldo,FI,TOSCANA,,
6624,1925,Antica Pieve,Certaldo,FI,TOSCANA,,
6626,1925,Museo d'Arte Sacra,San Gimignano,SI,TOSCANA,,
6628,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6629,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6630,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6631,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6632,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6633,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6634,1925,Basilica di San Lucchese,Poggibonsi,SI,TOSCANA,,
6635,1925,Sant'Agostino,Colle di Val d'Elsa,SI,TOSCANA,,
6637,1925,Pinacoteca,Colle di Val d'Elsa,SI,TOSCANA,,
